location,indicator,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.5083667219999999
AUS,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.253772928
AUS,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.933888014
AUS,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.5511376590000001
AUS,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.5996249219999998
CAN,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.118583128
CAN,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.435438204
CAN,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.6033755269999999
CAN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.242524917
CAN,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.945347248
CAN,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.921794482
CAN,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.998800155
CZE,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.309364548
CZE,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.6835042090000001
CZE,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.450533985
CZE,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.149494949
CZE,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.8133013769999997
CZE,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.470314197
CZE,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.325536205
DNK,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.45203415399999997
DNK,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.25
DNK,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.14713217
DNK,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.813609467
DNK,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.7227431679999999
DNK,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.937565152
DNK,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.431512163
HUN,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.06164468
HUN,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.394769307
HUN,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.850247923
HUN,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.3008546389999998
HUN,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.38230017
HUN,CPIFORECAST,TOT,AGRWTH,A,2021.0,4.082501328999999
ISL,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.6330584819999998
ISL,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.696930239
ISL,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.760412791
ISL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.682915085
ISL,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.030161998
ISL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.352532756
ISL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.090656097
JPN,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.78951789
JPN,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.11666666699999999
JPN,CPIFORECAST,TOT,AGRWTH,A,2017.0,0.467211747
JPN,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.988207939
JPN,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.064059775
JPN,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.248417783
KOR,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.70620817
KOR,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.9716747640000001
KOR,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.9444559069999998
KOR,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.4758624040000001
KOR,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.283080205
KOR,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.050693213
KOR,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.428059042
MEX,CPIFORECAST,TOT,AGRWTH,A,2015.0,2.720641263
MEX,CPIFORECAST,TOT,AGRWTH,A,2017.0,6.041455823
MEX,CPIFORECAST,TOT,AGRWTH,A,2018.0,4.899350966
MEX,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.546401294
MEX,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.702124135
MEX,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.712467935
NZL,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.29270330899999997
NZL,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.646237225
NZL,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.8507870709999998
NZL,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.59829795
NZL,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.5493068540000001
NZL,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.862161804
NZL,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.8813318819999998
NOR,CPIFORECAST,TOT,AGRWTH,A,2015.0,2.171136654
NOR,CPIFORECAST,TOT,AGRWTH,A,2016.0,3.55
NOR,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.8831482380000002
NOR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.7488151660000004
NOR,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.323944159
NOR,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.9576598330000001
NOR,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.17511029
POL,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.8741258740000001
POL,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.664767331
POL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.075935537
POL,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.8129515630000002
POL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.29068452
POL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.913684297
POL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.82752777
SWE,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.046784745
SWE,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.984269245
SWE,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.794499047
SWE,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.9535353009999998
SWE,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.778803502
SWE,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.797385408
SWE,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.8121864909999998
CHE,CPIFORECAST,TOT,AGRWTH,A,2015.0,-1.1439006440000001
CHE,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.434607639
CHE,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.9363133029999999
CHE,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.426366642
CHE,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.380730344
CHE,CPIFORECAST,TOT,AGRWTH,A,2021.0,0.9669868159999999
TUR,CPIFORECAST,TOT,AGRWTH,A,2015.0,7.670853648
TUR,CPIFORECAST,TOT,AGRWTH,A,2016.0,7.775134153
TUR,CPIFORECAST,TOT,AGRWTH,A,2017.0,11.14431108
TUR,CPIFORECAST,TOT,AGRWTH,A,2018.0,16.3324639
TUR,CPIFORECAST,TOT,AGRWTH,A,2019.0,15.76441219
TUR,CPIFORECAST,TOT,AGRWTH,A,2020.0,13.16470621
TUR,CPIFORECAST,TOT,AGRWTH,A,2021.0,10.02174411
USA,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.119482641
USA,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.270018643
USA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.135937971
USA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.4354010219999997
USA,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.7828022959999998
USA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.167572832
USA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.106976456
BRA,CPIFORECAST,TOT,AGRWTH,A,2015.0,9.029884313
BRA,CPIFORECAST,TOT,AGRWTH,A,2016.0,8.739133045
BRA,CPIFORECAST,TOT,AGRWTH,A,2018.0,3.664850284
BRA,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.7027666669999997
BRA,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.1303268789999996
BRA,CPIFORECAST,TOT,AGRWTH,A,2021.0,3.6382559110000003
CHL,CPIFORECAST,TOT,AGRWTH,A,2015.0,4.348773532
CHL,CPIFORECAST,TOT,AGRWTH,A,2016.0,3.7861935589999995
CHL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.182718469
CHL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.434889814
CHL,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.429884946
CHL,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.513638162
CHL,CPIFORECAST,TOT,AGRWTH,A,2021.0,3.0088140310000004
CHN,CPIFORECAST,TOT,AGRWTH,A,2015.0,1.542431703
CHN,CPIFORECAST,TOT,AGRWTH,A,2016.0,2.120335249
CHN,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.517565963
CHN,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.926824712
CHN,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.5323208790000002
CHN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.206980138
CHN,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.925248148
IND,CPIFORECAST,TOT,AGRWTH,A,2015.0,4.901577391
IND,CPIFORECAST,TOT,AGRWTH,A,2016.0,4.521894354
IND,CPIFORECAST,TOT,AGRWTH,A,2017.0,3.583743802
IND,CPIFORECAST,TOT,AGRWTH,A,2018.0,3.413919457
IND,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.482423471
IND,CPIFORECAST,TOT,AGRWTH,A,2021.0,4.150734568
IDN,CPIFORECAST,TOT,AGRWTH,A,2015.0,6.363121131000001
IDN,CPIFORECAST,TOT,AGRWTH,A,2016.0,3.5258051569999997
IDN,CPIFORECAST,TOT,AGRWTH,A,2017.0,3.80879807
IDN,CPIFORECAST,TOT,AGRWTH,A,2018.0,3.198346416
IDN,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.2005135780000002
IDN,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.485654218
IDN,CPIFORECAST,TOT,AGRWTH,A,2021.0,3.3841461230000003
ISR,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.632490013
ISR,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.54438861
ISR,CPIFORECAST,TOT,AGRWTH,A,2017.0,0.244210526
ISR,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.814852151
ISR,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.8782532679999999
ISR,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.082216366
ISR,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.689428893
RUS,CPIFORECAST,TOT,AGRWTH,A,2015.0,15.53439931
RUS,CPIFORECAST,TOT,AGRWTH,A,2016.0,7.042435565
RUS,CPIFORECAST,TOT,AGRWTH,A,2017.0,3.683334392
RUS,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.8783053780000003
RUS,CPIFORECAST,TOT,AGRWTH,A,2019.0,4.871229973999999
RUS,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.9975339539999997
RUS,CPIFORECAST,TOT,AGRWTH,A,2021.0,4.037932969
ZAF,CPIFORECAST,TOT,AGRWTH,A,2015.0,4.575163399
ZAF,CPIFORECAST,TOT,AGRWTH,A,2016.0,6.34057971
ZAF,CPIFORECAST,TOT,AGRWTH,A,2017.0,5.272572402
ZAF,CPIFORECAST,TOT,AGRWTH,A,2018.0,4.620114895
ZAF,CPIFORECAST,TOT,AGRWTH,A,2019.0,4.189067957
ZAF,CPIFORECAST,TOT,AGRWTH,A,2020.0,4.588729805
ZAF,CPIFORECAST,TOT,AGRWTH,A,2021.0,4.544926929
OECD,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.704720225
OECD,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.030585361
OECD,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.20299433
OECD,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.579015713
OECD,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.970176304
OECD,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.161702432
OECD,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.183991858
COL,CPIFORECAST,TOT,AGRWTH,A,2015.0,4.9901086160000006
COL,CPIFORECAST,TOT,AGRWTH,A,2016.0,7.513087822
COL,CPIFORECAST,TOT,AGRWTH,A,2017.0,4.314758507
COL,CPIFORECAST,TOT,AGRWTH,A,2018.0,3.2406161589999996
COL,CPIFORECAST,TOT,AGRWTH,A,2019.0,3.498602643
COL,CPIFORECAST,TOT,AGRWTH,A,2020.0,3.5979947230000002
COL,CPIFORECAST,TOT,AGRWTH,A,2021.0,3.0123482860000004
AUT,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.804757985
AUT,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.970833333
AUT,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.23084224
AUT,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.1199987080000002
AUT,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.5053040290000002
AUT,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.585564466
AUT,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.65
BEL,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.619654536
BEL,CPIFORECAST,TOT,AGRWTH,A,2016.0,1.77001475
BEL,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.223987292
BEL,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.3109765380000002
BEL,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.272634427
BEL,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.144054299
BEL,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.522846621
FIN,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.155590871
FIN,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.389166667
FIN,CPIFORECAST,TOT,AGRWTH,A,2017.0,0.8392339809999999
FIN,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.168935937
FIN,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.178952056
FIN,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.37828817
FIN,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.666847889
FRA,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.086741119
FRA,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.304997458
FRA,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.162278698
FRA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.099108125
FRA,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.304822167
FRA,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.172867135
FRA,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.306007916
DEU,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.6796442359999999
DEU,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.366697225
DEU,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.7022336630000001
DEU,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.935009796
DEU,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.288666774
DEU,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.185587351
DEU,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.4564153869999998
GRC,CPIFORECAST,TOT,AGRWTH,A,2015.0,-1.09372038
GRC,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.013333111000000002
GRC,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.138162609
GRC,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.774401899
GRC,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.417873915
GRC,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.38970395799999996
GRC,CPIFORECAST,TOT,AGRWTH,A,2021.0,0.862168575
IRL,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.033322226
IRL,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.208333333
IRL,CPIFORECAST,TOT,AGRWTH,A,2017.0,0.258872651
IRL,CPIFORECAST,TOT,AGRWTH,A,2018.0,0.716308512
IRL,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.8865094579999999
IRL,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.691623866
IRL,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.2148818080000003
ITA,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.10845987
ITA,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.050004167
ITA,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.325773368
ITA,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.2425938109999999
ITA,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.60259602
ITA,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.639194809
ITA,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.180598313
LUX,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.058366894
LUX,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.038333014
LUX,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.1091739069999997
LUX,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.015842843
LUX,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.694652279
LUX,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.6694686619999999
LUX,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.7969973190000001
NLD,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.212112102
NLD,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.104164931
NLD,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.293630907
NLD,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.600907289
NLD,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.674708406
NLD,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.829908415
NLD,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.4657216999999998
PRT,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.5075631939999999
PRT,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.635833333
PRT,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.5559401469999998
PRT,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.167626096
PRT,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.30481171100000004
PRT,CPIFORECAST,TOT,AGRWTH,A,2020.0,0.5312322070000001
PRT,CPIFORECAST,TOT,AGRWTH,A,2021.0,0.975057614
SVK,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.34381384200000004
SVK,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.48166666700000005
SVK,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.390866005
SVK,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.532973249
SVK,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.847498745
SVK,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.57744829
SVK,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.48957601
ESP,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.629347466
ESP,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.33666666700000003
ESP,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.0360212719999997
ESP,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.735624555
ESP,CPIFORECAST,TOT,AGRWTH,A,2019.0,0.826628583
ESP,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.057665855
ESP,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.321971616
GBR,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.050020842
GBR,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.641613199
GBR,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.690842855
GBR,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.47520761
GBR,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.9014383730000002
GBR,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.033942206
GBR,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.819389766
EST,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.067545593
EST,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.8
EST,CPIFORECAST,TOT,AGRWTH,A,2017.0,3.6507936510000003
EST,CPIFORECAST,TOT,AGRWTH,A,2018.0,3.4121362939999997
EST,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.229709496
EST,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.3053062090000003
EST,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.237314731
LVA,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.212948967
LVA,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.09916501400000001
LVA,CPIFORECAST,TOT,AGRWTH,A,2017.0,2.8937488030000003
LVA,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.554269116
LVA,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.905565797
LVA,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.30047694
LVA,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.349654676
SVN,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.763301963
SVN,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.153334611
SVN,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.5565663730000001
SVN,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.933760683
SVN,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.844559984
SVN,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.358689585
SVN,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.3
ARG,CPIFORECAST,TOT,AGRWTH,A,2015.0,27.70000002
ARG,CPIFORECAST,TOT,AGRWTH,A,2016.0,40.7
ARG,CPIFORECAST,TOT,AGRWTH,A,2017.0,28.55844447
ARG,CPIFORECAST,TOT,AGRWTH,A,2018.0,36.27432753
ARG,CPIFORECAST,TOT,AGRWTH,A,2019.0,46.01105752
ARG,CPIFORECAST,TOT,AGRWTH,A,2020.0,45.28169664
ARG,CPIFORECAST,TOT,AGRWTH,A,2021.0,41.717165200000004
CRI,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.801857162
CRI,CPIFORECAST,TOT,AGRWTH,A,2016.0,-0.017471924
CRI,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.625723304
CRI,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.221198275
CRI,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.285247772
CRI,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.505006076
CRI,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.381899302
LTU,CPIFORECAST,TOT,AGRWTH,A,2015.0,-0.6770514329999999
LTU,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.678333333
LTU,CPIFORECAST,TOT,AGRWTH,A,2017.0,3.7181121389999996
LTU,CPIFORECAST,TOT,AGRWTH,A,2018.0,2.531403125
LTU,CPIFORECAST,TOT,AGRWTH,A,2019.0,2.288824487
LTU,CPIFORECAST,TOT,AGRWTH,A,2020.0,2.233428085
LTU,CPIFORECAST,TOT,AGRWTH,A,2021.0,2.235039274
EA17,CPIFORECAST,TOT,AGRWTH,A,2015.0,0.18464194899999997
EA17,CPIFORECAST,TOT,AGRWTH,A,2016.0,0.240891364
EA17,CPIFORECAST,TOT,AGRWTH,A,2017.0,1.528207389
EA17,CPIFORECAST,TOT,AGRWTH,A,2018.0,1.761301635
EA17,CPIFORECAST,TOT,AGRWTH,A,2019.0,1.168101606
EA17,CPIFORECAST,TOT,AGRWTH,A,2020.0,1.118827493
EA17,CPIFORECAST,TOT,AGRWTH,A,2021.0,1.37880127
