location_indicator,SUBJECT,MEASURE,FREQUENCY,TIME,TIME.1,Value,Flag Codes
AUS_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.508366722,
AUS_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.253772928,
AUS_CPIFORECAST,TOT,,A,2017,2017,1.972024765,
AUS_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.933888014,
AUS_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.551137659,
AUS_CPIFORECAST,TOT,AGRWTH,A,,2020,1.647200341,
AUS_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.599624922,
CAN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.118583128,
CAN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.435438204,
CAN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.603375527,
CAN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.242524917,
CAN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.945347248,
CAN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.921794482,
CAN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.998800155,
CZE_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.309364548,
CZE_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.683504209,
CZE_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.450533985,
CZE_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.149494949,
CZE_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.813301377,
CZE_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.470314197,
CZE_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.325536205,
DNK_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.452034154,
DNK_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.25,
DNK_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.14713217,
DNK_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.813609467,
DNK_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.722743168,
DNK_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.937565152,
DNK_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.431512163,
HUN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.06164468,
HUN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.394769307,
HUN_CPIFORECAST,TOT,,A,2017,2017,2.348242812,
HUN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.850247923,
HUN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.300854639,
HUN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.38230017,
HUN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,4.082501329,
ISL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.633058482,
ISL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.696930239,
ISL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.760412791,
ISL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.682915085,
ISL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.030161998,
ISL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.352532756,
ISL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.090656097,
JPN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.78951789,
JPN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.116666667,
JPN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,0.467211747,
JPN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.988207939,
JPN_CPIFORECAST,TOT,AGRWTH,A,2019,,0.609851623,
JPN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.064059775,
JPN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.248417783,
KOR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.70620817,
KOR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.971674764,
KOR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.944455907,
KOR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.475862404,
KOR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.283080205,
KOR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.050693213,
KOR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.428059042,
MEX_CPIFORECAST,TOT,AGRWTH,A,2015,2015,2.720641263,
MEX_CPIFORECAST,TOT,,A,2016,2016,2.821707752,
MEX_CPIFORECAST,TOT,AGRWTH,A,2017,2017,6.041455823,
MEX_CPIFORECAST,TOT,AGRWTH,A,2018,2018,4.899350966,
MEX_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.546401294,
MEX_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.702124135,
MEX_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.712467935,
NZL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.292703309,
NZL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.646237225,
NZL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.850787071,
NZL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.59829795,
NZL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.549306854,
NZL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.862161804,
NZL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.881331882,
NOR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,2.171136654,
NOR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,3.55,
NOR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.883148238,
NOR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.748815166,
NOR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.323944159,
NOR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.957659833,
NOR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.17511029,
POL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.874125874,
POL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.664767331,
POL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.075935537,
POL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.812951563,
POL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.29068452,
POL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.913684297,
POL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.82752777,
SWE_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.046784745,
SWE_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.984269245,
SWE_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.794499047,
SWE_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.953535301,
SWE_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.778803502,
SWE_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.797385408,
SWE_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.812186491,
CHE_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-1.143900644,
CHE_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.434607639,
CHE_CPIFORECAST,TOT,AGRWTH,A,2017,,0.533795988,
CHE_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.936313303,
CHE_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.426366642,
CHE_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.380730344,
CHE_CPIFORECAST,TOT,AGRWTH,A,2021,2021,0.966986816,
TUR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,7.670853648,
TUR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,7.775134153,
TUR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,11.14431108,
TUR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,16.3324639,
TUR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,15.76441219,
TUR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,13.16470621,
TUR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,10.02174411,
USA_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.119482641,
USA_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.270018643,
USA_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.135937971,
USA_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.435401022,
USA_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.782802296,
USA_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.167572832,
USA_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.106976456,
BRA_CPIFORECAST,TOT,AGRWTH,A,2015,2015,9.029884313,
BRA_CPIFORECAST,TOT,AGRWTH,A,2016,2016,8.739133045,
BRA_CPIFORECAST,TOT,,A,2017,2017,3.44637335,
BRA_CPIFORECAST,TOT,AGRWTH,A,2018,2018,3.664850284,
BRA_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.702766667,
BRA_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.130326879,
BRA_CPIFORECAST,TOT,AGRWTH,A,2021,2021,3.638255911,
CHL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,4.348773532,
CHL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,3.786193559,
CHL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.182718469,
CHL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.434889814,
CHL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.429884946,
CHL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.513638162,
CHL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,3.008814031,
CHN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,1.542431703,
CHN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,2.120335249,
CHN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.517565963,
CHN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.926824712,
CHN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.532320879,
CHN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.206980138,
CHN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.925248148,
IND_CPIFORECAST,TOT,AGRWTH,A,2015,2015,4.901577391,
IND_CPIFORECAST,TOT,AGRWTH,A,2016,2016,4.521894354,
IND_CPIFORECAST,TOT,AGRWTH,A,2017,2017,3.583743802,
IND_CPIFORECAST,TOT,AGRWTH,A,2018,2018,3.413919457,
IND_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.482423471,
IND_CPIFORECAST,TOT,AGRWTH,A,2020,,3.923752517,
IND_CPIFORECAST,TOT,AGRWTH,A,2021,2021,4.150734568,
IDN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,6.363121131,
IDN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,3.525805157,
IDN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,3.80879807,
IDN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,3.198346416,
IDN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.200513578,
IDN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.485654218,
IDN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,3.384146123,
ISR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.632490013,
ISR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.54438861,
ISR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,0.244210526,
ISR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.814852151,
ISR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.878253268,
ISR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.082216366,
ISR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.689428893,
RUS_CPIFORECAST,TOT,AGRWTH,A,2015,2015,15.53439931,
RUS_CPIFORECAST,TOT,AGRWTH,A,2016,2016,7.042435565,
RUS_CPIFORECAST,TOT,AGRWTH,A,2017,2017,3.683334392,
RUS_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.878305378,
RUS_CPIFORECAST,TOT,AGRWTH,A,2019,2019,4.871229974,
RUS_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.997533954,
RUS_CPIFORECAST,TOT,AGRWTH,A,2021,2021,4.037932969,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2015,2015,4.575163399,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2016,2016,6.34057971,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2017,2017,5.272572402,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2018,2018,4.620114895,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2019,2019,4.189067957,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2020,2020,4.588729805,
ZAF_CPIFORECAST,TOT,AGRWTH,A,2021,2021,4.544926929,
OECD_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.704720225,
OECD_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.030585361,
OECD_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.20299433,
OECD_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.579015713,
OECD_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.970176304,
OECD_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.161702432,
OECD_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.183991858,
COL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,4.990108616,
COL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,7.513087822,
COL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,4.314758507,
COL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,3.240616159,
COL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,3.498602643,
COL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,3.597994723,
COL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,3.012348286,
AUT_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.804757985,
AUT_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.970833333,
AUT_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.23084224,
AUT_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.119998708,
AUT_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.505304029,
AUT_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.585564466,
AUT_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.65,
BEL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.619654536,
BEL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,1.77001475,
BEL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.223987292,
BEL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.310976538,
BEL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.272634427,
BEL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.144054299,
BEL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.522846621,
FIN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.155590871,
FIN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.389166667,
FIN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,0.839233981,
FIN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.168935937,
FIN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.178952056,
FIN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.37828817,
FIN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.666847889,
FRA_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.086741119,
FRA_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.304997458,
FRA_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.162278698,
FRA_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.099108125,
FRA_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.304822167,
FRA_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.172867135,
FRA_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.306007916,
DEU_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.679644236,
DEU_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.366697225,
DEU_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.702233663,
DEU_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.935009796,
DEU_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.288666774,
DEU_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.185587351,
DEU_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.456415387,
GRC_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-1.09372038,
GRC_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.013333111,
GRC_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.138162609,
GRC_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.774401899,
GRC_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.417873915,
GRC_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.389703958,
GRC_CPIFORECAST,TOT,AGRWTH,A,2021,2021,0.862168575,
IRL_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.033322226,
IRL_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.208333333,
IRL_CPIFORECAST,TOT,AGRWTH,A,2017,2017,0.258872651,
IRL_CPIFORECAST,TOT,AGRWTH,A,2018,2018,0.716308512,
IRL_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.886509458,
IRL_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.691623866,
IRL_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.214881808,
ITA_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.10845987,
ITA_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.050004167,
ITA_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.325773368,
ITA_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.242593811,
ITA_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.60259602,
ITA_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.639194809,
ITA_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.180598313,
LUX_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.058366894,
LUX_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.038333014,
LUX_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.109173907,
LUX_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.015842843,
LUX_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.694652279,
LUX_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.669468662,
LUX_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.796997319,
NLD_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.212112102,
NLD_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.104164931,
NLD_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.293630907,
NLD_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.600907289,
NLD_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.674708406,
NLD_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.829908415,
NLD_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.4657217,
PRT_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.507563194,
PRT_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.635833333,
PRT_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.555940147,
PRT_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.167626096,
PRT_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.304811711,
PRT_CPIFORECAST,TOT,AGRWTH,A,2020,2020,0.531232207,
PRT_CPIFORECAST,TOT,AGRWTH,A,2021,2021,0.975057614,
SVK_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.343813842,
SVK_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.481666667,
SVK_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.390866005,
SVK_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.532973249,
SVK_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.847498745,
SVK_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.57744829,
SVK_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.48957601,
ESP_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.629347466,
ESP_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.336666667,
ESP_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.036021272,
ESP_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.735624555,
ESP_CPIFORECAST,TOT,AGRWTH,A,2019,2019,0.826628583,
ESP_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.057665855,
ESP_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.321971616,
GBR_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.050020842,
GBR_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.641613199,
GBR_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.690842855,
GBR_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.47520761,
GBR_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.901438373,
GBR_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.033942206,
GBR_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.819389766,
EST_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.067545593,
EST_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.8,
EST_CPIFORECAST,TOT,AGRWTH,A,2017,2017,3.650793651,
EST_CPIFORECAST,TOT,AGRWTH,A,2018,2018,3.412136294,
EST_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.229709496,
EST_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.305306209,
EST_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.237314731,
LVA_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.212948967,
LVA_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.099165014,
LVA_CPIFORECAST,TOT,AGRWTH,A,2017,2017,2.893748803,
LVA_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.554269116,
LVA_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.905565797,
LVA_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.30047694,
LVA_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.349654676,
SVN_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.763301963,
SVN_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.153334611,
SVN_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.556566373,
SVN_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.933760683,
SVN_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.844559984,
SVN_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.358689585,
SVN_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.3,
ARG_CPIFORECAST,TOT,AGRWTH,A,2015,2015,27.70000002,
ARG_CPIFORECAST,TOT,AGRWTH,A,2016,2016,40.7,
ARG_CPIFORECAST,TOT,AGRWTH,A,2017,2017,28.55844447,
ARG_CPIFORECAST,TOT,AGRWTH,A,2018,2018,36.27432753,
ARG_CPIFORECAST,TOT,AGRWTH,A,2019,2019,46.01105752,
ARG_CPIFORECAST,TOT,AGRWTH,A,2020,2020,45.28169664,
ARG_CPIFORECAST,TOT,AGRWTH,A,2021,2021,41.7171652,
CRI_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.801857162,
CRI_CPIFORECAST,TOT,AGRWTH,A,2016,2016,-0.017471924,
CRI_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.625723304,
CRI_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.221198275,
CRI_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.285247772,
CRI_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.505006076,
CRI_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.381899302,
LTU_CPIFORECAST,TOT,AGRWTH,A,2015,2015,-0.677051433,
LTU_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.678333333,
LTU_CPIFORECAST,TOT,AGRWTH,A,2017,2017,3.718112139,
LTU_CPIFORECAST,TOT,AGRWTH,A,2018,2018,2.531403125,
LTU_CPIFORECAST,TOT,AGRWTH,A,2019,2019,2.288824487,
LTU_CPIFORECAST,TOT,AGRWTH,A,2020,2020,2.233428085,
LTU_CPIFORECAST,TOT,AGRWTH,A,2021,2021,2.235039274,
EA17_CPIFORECAST,TOT,AGRWTH,A,2015,2015,0.184641949,
EA17_CPIFORECAST,TOT,AGRWTH,A,2016,2016,0.240891364,
EA17_CPIFORECAST,TOT,AGRWTH,A,2017,2017,1.528207389,
EA17_CPIFORECAST,TOT,AGRWTH,A,2018,2018,1.761301635,
EA17_CPIFORECAST,TOT,AGRWTH,A,2019,2019,1.168101606,
EA17_CPIFORECAST,TOT,AGRWTH,A,2020,2020,1.118827493,
EA17_CPIFORECAST,TOT,AGRWTH,A,2021,2021,1.37880127,